Country,Language
Afghanistan,Dari Persian
Afghanistan,Pashto
Albania,Albanian
Algeria,Arabic
Andorra,Catalan
Angola,Portuguese
Antigua and Barbuda,English
Argentina,Spanish
Armenia,Armenian
Australia,English
Austria,German
Azerbaijan,Azebaijani
Bahamas,English
Bahrain,Arabic
Bangladesh,Bengali
Barbados,English
Belarus,Belarusian
Belarus,Russian
Belgium,Dutch
Belgium,French
Belgium,German
Belize,English
Benin,French
Bermuda,English
Bhutan,Dzongkha
Bolivia,Spanish
Bolivia,Quechua
Bolivia,Aymarà
Bosnia and Herzegovina,Bosnian
Bosnia and Herzegovina,Croatian
Bosnia and Herzegovina,Serbian
Botswana,English
Brazil,Portuguese
Brunei,Malay
Bulgaria,Bulgarian
Burkina Faso,French
Burundi,French
Burundi,Kirundi
Cambodia,Khmer
Cameroun,French
Cameroun,English
Canada,English
Canada,French
Cape Verde,Portuguese
Cape Verde,Kabuverdianu
Central African Rep,French
Central African Rep,Sango
Chad,Arabic
Chad,French
Chile,Spanish
China,Mandarin Chinese
Colombia,Spanish
Comoros,Arabic
Comoros,Comorian
Comoros,French
Congo (Democratic Rep),French
Congo Rep,French
Costa Rica,Spanish
Côte D'Ivoire,French
Croatia,Croatian
Cuba,Spanish
Cyprus,Greek
Cyprus,Turkish
Czechia,Czech
Denmark,Danish
Djibouti,Arabic
Djibouti,French
Dominica,English
Dominican Republic,Spanish
Ecuador,Spanish
Ecuador,Quechua
Egypt,Arabic
El Salvador,Spanish
Equatorial Guinea,French
Equatorial Guinea,Spanish
Eritrea,Tigrinya
Eritrea,Arabic
Estonia,Estonian
Ethiopia,Amharic
Fiji,Fijian
Fiji,English
Fiji,Hindustani
Finland,Finnish
Finland,Swedish
France,French
Gabon,French
Gambia,English
Georgia,Georgian
Germany,German
Ghana,English
Greece,Greek
Grenada,English
Guatemala,Spanish
Guinea,French
Guinea-Bissau,Portuguese
Guyana,English
Haiti,French
Haiti,Haitian Creole
Honduras,Spanish
Hungary,Hungarian
Iceland,Icelandic
India,Hindi
Indonesia,Indonesian
Iran,Persian/Farsi
Iraq,Arabic
Ireland,English
Ireland,Irish Gaelic
Israel,Hebrew
Israel,Arabic
Italy,Italian
Jamaica,English
Japan,Japanese
Jordan,Arabic
Kazakhstan,Kazakh
Kazakhstan,Russian
Kenya,English
Kiribati,Kiribati
Kiribati,English
Kosovo,
Kuwait,Arabic
Kyrgyzstan,Kyrgyz
Kyrgyzstan,Russian
Laos,Lao
Latvia,Latvian
Lebanon,Arabic
Lesotho,Sesotho
Lesotho,English
Liberia,English
Libya,Arabic
Lithuania,Lithuanian
Luxembourg,French
Luxembourg,German
Luxembourg,Luxembourgish
Macedonia,Macedonian
Madagascar,Malagasy
Madagascar,French
Malawi,Chichewa
Malawi,English
Malaysia,Malay
Maldives,Dhivehi
Mali,French
Malta,Maltese
Malta,English
Marshall Islands,English
Mauritania,Arabic
Mauritius,English
Mauritius,French
Mexico,Spanish
Micronesia,Chuuk
Micronesia,Kosraean
Micronesia,Ponapean
Micronesia,Ulithian
Micronesia,Yapese
Micronesia,English
Moldova,Romanian
Mongolia,Khalkha Mongolian
Montenegro,Serbian/Montenegrin
Morocco,Arabic
Mozambique,Portuguese
Myanmar,Burmese
Namibia,English
Nauru,Nauruan
Nauru,English
Nepal,Nepali
Netherlands,Dutch
New Zealand,English
